a0,a1,beta,epsilon1,epsilon2,epsilon3
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
